Número;Mailing;Operador;CNPJ;RAZAO_SOCIAL;"Texto de Integração";Finalizado;Status;Classificação;Subclassificação;"Data que ligou"
85988053013;01-Recadastro_02-03;;29924777000124;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:04"
22999582828;01-Recadastro_02-03;;39726824000260;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:04"
19997491381;01-Recadastro_02-03;;31852065000199;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:47"
85991371987;01-Recadastro_02-03;;38172738000109;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:04"
84988504069;01-Recadastro_02-03;;63803071000142;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:06"
21975316662;01-Recadastro_02-03;;37052382000107;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:27:23"
79996038648;01-Recadastro_02-03;;37787797000129;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:47"
43999744656;01-Recadastro_02-03;;06005558000146;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:13:01"
19989617917;01-Recadastro_02-03;;63980077000195;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:48"
35998861280;01-Recadastro_02-03;;61806269000154;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:22:06"
19995134085;01-Recadastro_02-03;;37478731000157;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:22:06"
16996034648;01-Recadastro_02-03;;39836776000181;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:37:54"
83996208276;01-Recadastro_02-03;;56392769000157;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:10:01"
35998498309;01-Recadastro_02-03;"Carla Cristina de Lima Kauffmann";58057495000175;RECADASTRO;;Não;"Em Fila";Improdutiva;"QUEDA DE LIGACAO";"02/03/2026 16:26:29"
32984171111;01-Recadastro_02-03;;62726243000169;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:10:01"
67981194203;01-Recadastro_02-03;;35879315000135;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:10:01"
69932223045;01-Recadastro_02-03;;30711237000141;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:10:01"
83988802977;01-Recadastro_02-03;;36894283000100;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:10:02"
61999150546;01-Recadastro_02-03;;62748416000140;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:26:29"
88988389262;01-Recadastro_02-03;;57617549000147;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:31:42"
98985253143;01-Recadastro_02-03;;30477265000146;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:49"
15997893882;01-Recadastro_02-03;;33227210000176;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:31:42"
27995023519;01-Recadastro_02-03;;40105506000180;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:31:42"
17997071038;01-Recadastro_02-03;;22776949000110;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:44:50"
31999162804;01-Recadastro_02-03;;39783159000165;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:10:02"
69999061994;01-Recadastro_02-03;;62777676000143;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
79988538093;01-Recadastro_02-03;;62734189000101;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
82996902303;01-Recadastro_02-03;;62756808000150;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
65999834363;01-Recadastro_02-03;;62550726000155;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
91991378800;01-Recadastro_02-03;;62644948000137;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
61992205959;01-Recadastro_02-03;;36816234000159;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
14998386056;01-Recadastro_02-03;;62751394000177;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
31987097659;01-Recadastro_02-03;;36602516000153;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:15"
34998086723;01-Recadastro_02-03;;39414157000107;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
71997020160;01-Recadastro_02-03;;61889730000180;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:15"
71999022687;01-Recadastro_02-03;;21383552000104;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
11976561952;01-Recadastro_02-03;;39748739000111;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
74981491121;01-Recadastro_02-03;;62446981000152;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
55999066090;01-Recadastro_02-03;;36060509000177;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
19992775910;01-Recadastro_02-03;;37648536000128;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:15"
41998529012;01-Recadastro_02-03;;10874430000196;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:15"
75992403040;01-Recadastro_02-03;;38164079000169;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
96991182304;01-Recadastro_02-03;;28549641000119;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
41998886332;01-Recadastro_02-03;;62623688000113;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
51999658776;01-Recadastro_02-03;;33355705000180;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
11992386952;01-Recadastro_02-03;;18896039000102;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
96991134193;01-Recadastro_02-03;;37964262000186;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
21977307061;01-Recadastro_02-03;;17512748000176;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
85997964731;01-Recadastro_02-03;;40111382000145;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
71999081709;01-Recadastro_02-03;;62324641000159;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:15"
83999517828;01-Recadastro_02-03;;58077134000190;RECADASTRO;;Sim;Atendido;-;-;"02/03/2026 16:08:16"
19996153448;01-Recadastro_02-03;;38402801000156;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
31994773574;01-Recadastro_02-03;;38366863000150;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
22997387092;01-Recadastro_02-03;;39237230000104;RECADASTRO;;Não;"Em Fila";-;-;"02/03/2026 16:08:16"
